id,name,Fertility,lat,long
34,North Dakota,67.4,47.528912,-99.784012
41,South Dakota,66.7,44.299782,-99.438828
2,Alaska,65.7,61.370716,-152.404419
27,Nebraska,64.7,41.12537,-98.268082
44,Utah,64.1,40.150032,-111.862434
18,Louisiana,62.2,31.169546,-91.867805
11,Hawaii,61.1,21.094318,-157.498337
16,Kansas,61.1,38.5266,-96.726486
24,Mississippi,61,32.741646,-89.678696
36,Oklahoma,61,35.565342,-96.928917
12,Idaho,60.9,44.240459,-114.478828
17,Kentucky,60.8,37.66814,-84.670067
4,Arkansas,60.7,34.969704,-92.373123
1,Alabama,60.6,32.806671,-86.79113
15,Iowa,60.4,42.011539,-93.210526
43,Texas,60.2,31.054487,-97.563461
14,Indiana,59.8,39.849426,-86.258278
25,Missouri,58.7,38.456085,-92.288368
30,New Jersey,58.6,40.298904,-74.521011
42,Tennessee,58.5,35.747845,-86.692345
23,Minnesota,58.3,45.694454,-93.900192
35,Ohio,58.3,40.388783,-82.764915
20,Maryland,57.7,39.063946,-76.802101
8,Delaware,57,39.318523,-75.507141
50,Wyoming,56.4,42.755966,-107.30249
33,North Carolina,56.2,35.630066,-79.806419
40,South Carolina,55.9,33.856892,-80.945007
46,Virginia,55.8,37.769337,-78.169968
10,Georgia,55.7,33.040619,-83.643074
22,Michigan,55.6,43.326618,-84.536095
49,Wisconsin,55.4,44.268543,-89.616508
48,West Virginia,55.3,38.491226,-80.954453
38,Pennsylvania,54.9,40.590752,-77.209755
28,Nevada,54.8,38.313515,-117.055374
31,New Mexico,54.6,34.840515,-106.248482
32,New York,54.6,42.165726,-74.948051
26,Montana,54.3,46.921925,-110.454353
3,Arizona,54,33.729759,-111.431221
47,Washington,54,47.400902,-121.490494
13,Illinois,53.8,40.349457,-88.986137
9,Florida,53.4,27.766279,-81.686783
5,California,52.4,36.116203,-119.681564
6,Colorado,51.5,39.059811,-105.311104
7,Connecticut,49.9,41.597782,-72.755371
19,Maine,49.2,44.693947,-69.381927
39,Rhode Island,48.7,41.680893,-71.51178
37,Oregon,47.8,44.572021,-122.070938
29,New Hampshire,47.7,43.452492,-71.563896
21,Massachusetts,47.6,42.230171,-71.530106
45,Vermont,44.7,44.045876,-72.710686
